,avg_score
0,0.1699999962002039
1,0.7099999841302633
2,1.7899999599903822
3,2.7699999380856752
4,2.7699999380856752
5,2.7699999380856752
6,2.849999936297536
7,2.849999936297536
8,2.9299999345093966
9,2.9299999345093966
10,2.9299999345093966
11,2.9299999345093966
12,2.9299999345093966
13,2.9299999345093966
14,3.01999993249774
15,3.01999993249774
16,3.01999993249774
17,3.01999993249774
18,3.01999993249774
19,3.01999993249774
20,3.01999993249774
21,3.01999993249774
22,3.01999993249774
23,3.01999993249774
24,3.2599999271333218
25,3.3599999248981476
26,3.3599999248981476
27,3.63999991863966
28,4.049999909475446
29,4.779999893158674
30,5.0599998869001865
31,5.0599998869001865
32,5.319999881088734
33,5.429999878630042
34,5.429999878630042
35,5.479999877512455
36,6.9999998435378075
37,7.6199998296797276
38,7.8599998243153095
39,7.8599998243153095
40,7.8599998243153095
41,7.879999823868275
42,8.379999812692404
43,8.74999980442226
44,8.949999799951911
45,8.949999799951911
46,8.949999799951911
47,8.949999799951911
48,9.079999797046185
49,9.629999784752727
50,9.769999781623483
51,9.979999776929617
52,11.059999752789736
53,12.369999723508954
54,12.369999723508954
55,12.369999723508954
56,12.519999720156193
57,13.16999970562756
58,14.499999675899744
59,14.90999966673553
60,15.629999650642276
61,15.789999647065997
62,16.91999962180853
63,16.99999962002039
64,17.109999617561698
65,18.04999959655106
66,18.70999958179891
67,19.01999957486987
68,19.309999568387866
69,19.499999564141035
70,19.879999555647373
71,20.029999552294612
72,20.659999538213015
73,21.789999512955546
74,22.879999488592148
75,23.559999473392963
76,24.219999458640814
77,24.74999944679439
78,24.889999443665147
79,25.199999436736107
80,25.839999422430992
81,26.60999940522015
82,27.349999388679862
83,27.909999376162887
84,28.399999365210533
85,29.309999344870448
86,29.379999343305826
87,29.619999337941408
88,29.879999332129955
89,30.469999318942428
90,31.189999302849174
91,32.3799992762506
92,32.51999927312136
93,32.99999926239252
94,33.399999253451824
95,33.399999253451824
96,33.67999924719334
97,34.679999224841595
98,35.959999196231365
99,36.25999918952584
100,36.54999918304384
101,37.079999171197414
102,38.089999148622155
103,38.819999132305384
104,39.099999126046896
105,39.30999912135303
106,39.97999910637736
107,40.77999908849597
108,41.20999907888472
109,41.459999073296785
110,41.70999906770885
111,41.849999064579606
112,42.619999047368765
113,43.25999903306365
114,43.60999902524054
115,44.42999900691211
116,44.899998996406794
117,45.03999899327755
118,45.03999899327755
119,46.00999897159636
120,46.339998964220285
121,46.85999895259738
122,47.419998940080404
123,48.239998921751976
124,48.469998916611075
125,48.94999890588224
126,49.469998894259334
127,49.6599988900125
128,50.07999888062477
129,50.26999887637794
130,50.60999886877835
131,51.2699988540262
132,51.47999884933233
133,51.57999884709716
134,52.00999883748591
135,52.00999883748591
136,52.339998830109835
137,52.419998828321695
138,53.02999881468713
139,53.89999879524112
140,54.61999877914786
141,54.94999877177179
142,55.249998765066266
143,56.12999874539673
144,56.369998740032315
145,56.69999873265624
146,57.05999872460961
147,57.53999871388078
148,57.729998709633946
149,57.919998705387115
150,59.31999867409468
151,60.20999865420163
152,60.30999865196645
153,60.60999864526093
154,61.059998635202646
155,61.33999862894416
156,61.33999862894416
157,62.059998612850904
158,62.53999860212207
159,62.53999860212207
160,63.07999859005213
161,63.84999857284129
162,64.9899985473603
163,65.62999853305519
164,66.23999851942062
165,66.7099985089153
166,67.1699984986335
167,68.28999847359955
168,68.78999846242368
169,69.73999844118953
170,70.43999842554331
171,70.82999841682613
172,71.73999839648604
173,71.73999839648604
174,72.03999838978052
175,72.87999837100506
176,73.44999835826457
177,74.03999834507704
178,75.58999831043184
179,75.85999830439687
180,76.9899982791394
181,77.17999827489257
182,77.5099982675165
183,78.06999825499952
184,79.71999821811914
185,80.92999819107354
186,81.71999817341566
187,81.79999817162752
188,82.22999816201627
189,82.65999815240502
190,82.97999814525247
191,84.05999812111259
192,84.81999810412526
193,85.15999809652567
194,85.75999808311462
195,86.03999807685614
196,86.03999807685614
197,86.30999807082117
198,86.59999806433916
199,87.12999805249274
200,87.53999804332852
201,87.53999804332852
202,87.53999804332852
203,88.47999802231789
204,89.12999800778925
205,89.96999798901379
206,90.35999798029661
207,90.35999798029661
208,91.02999796532094
209,92.149997940287
210,92.55999793112278
211,92.55999793112278
212,92.89999792352319
213,92.98999792151153
214,93.39999791234732
215,93.55999790877104
216,94.01999789848924
217,94.97999787703156
218,95.589997863397
219,95.6499978620559
220,96.12999785132706
221,96.92999783344567
222,97.01999783143401
223,97.27999782562256
224,97.80999781377614
225,98.99999778717756
226,99.4399977773428
227,100.8699977453798
228,101.17999773845077
229,101.17999773845077
230,101.7899977248162
231,102.04999771900475
232,103.20999769307673
233,104.04999767430127
234,104.30999766848981
235,104.87999765574932
236,105.66999763809144
237,106.92999760992825
238,107.8199975900352
239,108.42999757640064
240,108.9699975643307
241,110.17999753728509
242,110.46999753080308
243,111.47999750822783
244,111.61999750509858
245,112.1799974925816
246,112.76999747939408
247,113.37999746575952
248,114.33999744430184
249,114.78999743424356
